pixel_feature_index,importance
1234,0.000487186018921324
1727,0.00048704131762121
2080,0.00048678826416523357
861,0.0004864170785756993
243,0.0004863238711847992
909,0.0004862979683943497
542,0.0004858527794618764
804,0.00048581199733952385
2321,0.00048548660316124196
1159,0.00048538735009652766
2171,0.0004852068585226886
1405,0.0004848801957038597
1296,0.0004840650515924881
2265,0.00048372302236180043
717,0.0004835859619620834
1399,0.00048334072566524287
1321,0.00048325990100453405
1998,0.00048315800077457634
903,0.00048211595397553147
1639,0.00048180390505657504
2291,0.00048133462375522936
108,0.00048129019368028334
1011,0.0004811342937455678
1305,0.00048101593509563493
1143,0.00048099228355886423
783,0.00048031217009726575
718,0.0004801600492204342
1368,0.0004801016307205134
270,0.000479852443905111
211,0.00047956384254041213
1801,0.00047913751437078135
870,0.00047903481512295875
722,0.0004778391571221445
117,0.00047740907933862474
1860,0.00047714939942454266
1080,0.0004771016878251748
1288,0.0004770934805625455
1147,0.00047675816931875073
950,0.00047662145209214436
112,0.00047619284826192935
1969,0.000475582655594407
77,0.00047550854537659667
405,0.00047505534442157774
616,0.0004749841149177692
83,0.0004741914539850327
2351,0.000474165944447456
1754,0.00047412665923324927
1710,0.00047398249400938696
2179,0.00047370557003471734
2339,0.00047348459200059837
625,0.0004734266547895749
1599,0.00047314655695201345
622,0.0004727312573493037
690,0.0004726938830858058
11,0.00047256596051872027
641,0.00047237942217859675
7,0.00047220030680041985
574,0.00047108705649078484
1062,0.00047097501347429085
620,0.00047092860227376825
1257,0.0004708257609226935
1098,0.0004704467152118193
1802,0.0004703124954924386
1581,0.00047029684613590715
709,0.00046938350644257535
2131,0.00046927229927862956
1236,0.0004689718294610807
1932,0.00046858860978950094
258,0.0004685150207643403
193,0.0004677117446920692
2259,0.00046732486448801863
1728,0.0004672509074281138
702,0.0004672023589457719
630,0.0004666948859130482
144,0.0004664286647451016
1484,0.0004663615617152171
1197,0.00046634186826279104
621,0.0004661871561293045
2266,0.000465765564106519
1886,0.0004657048982833596
1483,0.0004656330459862468
480,0.0004647002787007923
1900,0.000464091918652043
652,0.0004638354906450403
167,0.00046363495707475624
2023,0.00046360661876934813
951,0.00046328335247334754
562,0.00046281500748700504
2304,0.000462150400099391
975,0.0004620848421589544
730,0.0004618749061290635
2200,0.00046171649019553215
174,0.00046171478118800237
81,0.00046130287803620654
723,0.0004611043979773964
106,0.00046102221125729703
788,0.00046055831762288005
1525,0.0004602488825761733
1602,0.00046020589173733403
631,0.0004601027362257726
225,0.00045986923986080636
2344,0.00045970605349710447
1706,0.00045955280077698526
387,0.0004592302660207207
1034,0.0004585518809532713
1737,0.000458277318236099
990,0.000458191547549025
1692,0.00045813026583938
1494,0.0004575905835473305
2242,0.0004569762202964322
116,0.000456844506277136
1680,0.00045658893168204847
1625,0.00045656764340683053
1264,0.00045639332340412377
100,0.0004563716647295518
2277,0.0004563361745633118
309,0.0004562947157294429
1622,0.00045612864193556973
156,0.0004551593187304148
1805,0.00045497988610018053
1701,0.0004547397913436368
1798,0.0004539307540448474
789,0.00045362319952145443
1443,0.00045339486729798715
1070,0.000453147863467366
2269,0.00045313645427432425
115,0.00045237416081368953
423,0.00045180470038259257
628,0.00045162294000936716
1320,0.0004515101166623521
2016,0.00045134951769517685
663,0.0004512676037290178
1772,0.0004511836541282572
306,0.00045092747331421806
2345,0.0004507671428278416
408,0.0004503829796344881
1283,0.00045012594492834987
1594,0.0004496894937934397
1750,0.00044940683312722196
1814,0.00044928646951104405
1697,0.00044911920159659114
1757,0.0004483573096557494
93,0.00044818437960816355
2343,0.00044816468449930476
348,0.00044790015061179034
1810,0.00044784618942125446
2289,0.00044770018900683957
418,0.0004476180887782133
1671,0.0004474271068729477
1173,0.0004473507739639059
2119,0.0004472374979891752
1192,0.0004465994997250377
642,0.00044657845888768083
435,0.0004464938040390394
2348,0.0004464061541069926
629,0.0004463597666045564
1818,0.0004462525222550413
1741,0.0004460230353270821
1808,0.00044559701235139605
1870,0.00044555941573745227
1793,0.00044512836905036415
373,0.00044512782523651966
1335,0.0004450495503167572
787,0.00044495855241122973
1327,0.00044457902901623366
1395,0.00044456782721354976
1735,0.00044445297307561734
1122,0.0004441478447588072
1092,0.000443893957795204
1239,0.0004437732439393951
87,0.0004436121910915435
636,0.00044355977182001794
691,0.00044330207334922607
285,0.0004428569019927776
48,0.0004424006314713185
2273,0.00044191113730202025
102,0.00044177138369377243
752,0.0004410953564568466
2272,0.000440985486320037
627,0.00044092016580830255
1357,0.0004405452453433624
1489,0.0004404233566116484
2030,0.0004404073618186681
569,0.00044002056818541875
901,0.00043944041060913413
2267,0.00043929627563834954
222,0.00043898753868374497
1277,0.00043897808766204366
464,0.0004387396982493236
1503,0.0004387047905307305
704,0.0004386000956367797
2096,0.0004384371709679972
725,0.0004383127356442001
1698,0.0004382764068762496
2337,0.0004379594556198095
1366,0.0004378476563324006
457,0.0004376059555199367
1093,0.0004374960728401334
231,0.000437330342753744
615,0.00043713567205197425
1888,0.0004368378427174656
720,0.00043615582429591974
184,0.00043611452532269624
1807,0.00043598137901479253
2224,0.00043590889709190525
647,0.0004358734992448596
2045,0.00043576431974205157
1923,0.0004357095545751835
372,0.0004355446639622356
